 1 2
0 negative "dear @Microsoft the newOoffice for Mac is great and all, but no Lync update? C'mon."
1 negative "@Microsoft how about you make a system that doesn't eat my friggin discs. This is the 2nd time this has happened and I am so sick of it!"
2 negative "I may be ignorant on this issue but... should we celebrate @Microsoft's parental leave changes? Doesn't the gender divide suggest... (1/2)"
3 negative "Thanks to @microsoft, I just may be switching over to @apple."
4 neutral "If I make a game as a #windows10 Universal App. Will #xboxone owners be able to download and play it in November? @majornelson @Microsoft"
5 positive "Microsoft, I may not prefer your gaming branch of business. But, you do make a damn fine operating system. #Windows10 @Microsoft"
6 negative "@MikeWolf1980 @Microsoft I will be downgrading and let #Windows10 be out for almost the 1st yr b4 trying it again. #Windows10fail"
7 negative "@Microsoft 2nd computer with same error!!! #Windows10fail Guess we will shelve this until SP1! http://t.co/QCcHlKuy8Q"
8 positive "Just ordered my 1st ever tablet; @Microsoft Surface Pro 3, i7/8GB 512GB SSD. Hopefully it works out for dev to replace my laptop =)"
9 negative "After attempting a reinstall, it still bricks, says, ""Windows cannot finish installing,"" or somesuch. @Microsoft may have cost me $600."
10 positive "Sunday morning, quiet day so time to welcome in #Windows10 @Microsoft @Windows http://t.co/7VtvAzhWmV"
11 negative "Did @Microsoft break Windows 10? Was working fine on Wednesday but now I can't get passed the login screen without it freezing up."
12 negative "@MSAU @Microsoft spent over 40 mins &amp; gave up coz it changes just before you print every time. C'mon team. Earn your dosh pls."
13 neutral "@spyderharrison @Microsoft the reason I ask is because it may be the manufacturer's fault, and they could help you."
14 positive "Innovation for jobs is just around the corner - to be exact next Wednesday 8/19 at @Microsoft http://t.co/3DK6ToZeA8 http://t.co/L2wOZcwgRb"
15 neutral "OK this is my pure speculation.  @Microsoft owns the cloud compute tech.  @Cloudgine is utilizing the tech.  3rd party devs is open to use."
16 neutral "We are still taking registrations for our Education Technology Update with @Acer and @Microsoft on August 28! Visit: http://t.co/lQvTHE6Chb"
17 negative "For the 1st time @Skype has a ""High Startup impact""   Does anyone at @Microsoft have a clue? #Windows10Fail http://t.co/loO3yd5rwe"
18 negative "#teens @BillGates 1st company failed miserably. When Gates &amp; @PaulGAllen tried to sell the product it wouldn't work #nevergiveup @Microsoft"
19 positive "#Vote for @AIESEC to become the 10th Global non profit partner of @Microsoft for us to #UpgradeYourWorld together. @AIESECGermany"
